ID,Title,Location,Salary,Summary
job_f4f43c4c8c6f589f,Sales Development Representative,,,"Ultimately, you will boost sales and contribute to our long- term business growth... what you’ll do at UiPath: Generate..."
job_1ebf9c60709d24ab,CFD - Industry Process Consultant (기술영업),,,Involve Marketing Activities... activation of long- term business Maintain / Improve skills & VAR(Reseller) Enablement...
job_92431cd8bd8077e0,"CIB - Corporate Sales Analyst, Seoul - Korea",,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_4847e14ba0ab8c23,[Consumer Health] Brand Manager – Neutrogena,,,"Neutrogena cleansing to lead the brand... short- and long- term strategy, marketing campaign, and strategic sales planning..."
job_e9f7ccd661ddb9f0,Brand Manager,,,"Senior Assistant Brand Manager’s role... drive long- term brand building to achieve the goal... company, meeting..."
job_73fc505039d702d5,Sales Specialist (Mercedes-Benz Mobility Korea),,,"Benz Mobility Long Term Rental Sales KPI... build up new services... Short Term Rental, Subscription etc. following..."
job_a0b307ed6e3af681,Advertising Account Director - Twitch,,,"clients, agencies, and media reps. · Develop and manage long- term strategic relationships with clients and agencies. · Create..."
job_47d174ea4246b7bb,Poultry Marketing Manager,,,delivery of short- term species marketing... well... align to short/long term strategies across products. Internal...
job_794c86c42bdad133,CIB F&BM - Legal Entity Controller - Analyst,,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_d507148423f37d32,Planning Manager,,,core to our business and key to our long- term success. JOB PURPOSE... position... season analysis and long- term strategies...
job_d0986208b46d0291,"Project Engineer, Korea",,,matter experts Contribute... success of Bloom Energy’s long- term process improvement efforts Ensure exemplary safety...
job_282e84ee532c651b,"Manager, E-Commerce Operation",,,platform behavior and social behavior to carry out long- term and short- term strategy for user acquisition and app penetration...
job_1be01e0237ee0ab5,Intern - Economic Affairs (171198),,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
job_5e3c43d2dceee68b,"Representative, Businesss Services",,,"statements and projections Working knowledge of short and long term budgeting and forecasting, rolling budgets, and product..."
job_f142603368812e9a,DISW - Portfolio Development Executive,,,"Provide leadership to PreSales Business Development on long term strategic value proposition and industry positioning, ECO..."
job_f650e82fbea72b84,PV Project Specialist,,,"Fixed- Term Position (1.5 Years contract) KEY ACCOUNTABILITIES: - Handle appropriately local periodic reports, including..."
job_b73ba4f97db9c888,Publisher Partnerships Manager,,,diverse internal cross-functional teams Long/short term business strategy with insights from measurable data Who you...
job_c384c508b2c534bf,"Business Development Manager -- Funding, Asian Market",,,devise solutions Coordinate and help finalize investor-facing term sheets based... needs of all parties Facilitate...
job_3e3844a591e7557c,Sourcing Recruiter,,,"pay only for what they use... up-front expenses or long- term commitments, making AWS the most cost-effective, flexible..."
job_be575169b22055f5,[촉탁직] Vitality 사무지원 업무 수행 인력,,,1.채용기간 2022-01-10 - 충원 완료시 2.고용형태 Contractor (Fixed Term) 3.채용직무소개 Vitality 사업 파트너별 정산 처리 업무 경영·인사·총무·사무>일반사무·사무지원>사무...
job_b84667c7e0a1d7a3,"Finance Manager, South Korea",,,"support... effective Decision making Short and long term financial projections Prepare budget, latest estimate and ensure..."
job_fc6cee1827ae1ce3,[Chloe] Managing Director,,,looking vision of femininity continues to inspire our long- term commitment to support the advancement of women. Women moving...
